Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
USW00003165|EL MONTE EMSU|2020|01|01|17|45|34.0833|-118.0333|90.2|14.0||C|FM15-METAR|343|747043-03165|1.0||C|FM15-METAR|343|747043-03165|1008.8||4|FM15-METAR|343|747043-03165|||||||999|C-Calm|9|FM15-METAR|343|747043-03165|0.0|C-Calm|5|FM15-METAR|343|747043-03165|||||||||||||41|Derived||FM15-METAR|343|747043-03165|8.0|Derived||FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|747043-03165|1019.6||4|FM15-METAR|343|747043-03165|||||||CLR:00|00-None,SK|5|FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||MET06901/01/20 09:45:02 METAR KEMT 011745Z 00000KT 10SM CLR 14/01 A3011 RMK||F||343|747043-03165
USW00003165|EL MONTE EMSU|2020|01|01|18|45|34.0833|-118.0333|90.2|17.0||C|FM15-METAR|343|747043-03165|2.0||C|FM15-METAR|343|747043-03165|1007.5||4|FM15-METAR|343|747043-03165|||||||999|C-Calm|9|FM15-METAR|343|747043-03165|0.0|C-Calm|5|FM15-METAR|343|747043-03165|||||||||||||37|Derived||FM15-METAR|343|747043-03165|10.0|Derived||FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|747043-03165|1018.3||4|FM15-METAR|343|747043-03165|||||||CLR:00|00-None,SK|5|FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||MET06901/01/20 10:45:02 METAR KEMT 011845Z 00000KT 10SM CLR 17/02 A3007 RMK||F||343|747043-03165
USW00003165|EL MONTE EMSU|2020|01|01|19|45|34.0833|-118.0333|90.2|18.0||C|FM15-METAR|343|747043-03165|0.0||C|FM15-METAR|343|747043-03165|1006.8||4|FM15-METAR|343|747043-03165|||||||999|C-Calm|9|FM15-METAR|343|747043-03165|0.0|C-Calm|5|FM15-METAR|343|747043-03165|||||||||||||30|Derived||FM15-METAR|343|747043-03165|9.4|Derived||FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|747043-03165|1017.6||4|FM15-METAR|343|747043-03165|||||||CLR:00|00-None,SK|5|FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||MET06901/01/20 11:45:02 METAR KEMT 011945Z 00000KT 10SM CLR 18/00 A3005 RMK||F||343|747043-03165
USW00003165|EL MONTE EMSU|2020|01|01|20|45|34.0833|-118.0333|90.2|19.0||C|FM15-METAR|343|747043-03165|0.0||C|FM15-METAR|343|747043-03165|1004.5||4|FM15-METAR|343|747043-03165|||||||999|C-Calm|9|FM15-METAR|343|747043-03165|0.0|C-Calm|5|FM15-METAR|343|747043-03165|||||||||||||28|Derived||FM15-METAR|343|747043-03165|9.9|Derived||FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|747043-03165|1015.2||4|FM15-METAR|343|747043-03165|||||||CLR:00|00-None,SK|5|FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||MET06901/01/20 12:45:02 METAR KEMT 012045Z 00000KT 10SM CLR 19/00 A2998 RMK||F||343|747043-03165
USW00003165|EL MONTE EMSU|2020|01|01|21|45|34.0833|-118.0333|90.2|19.0||C|FM15-METAR|343|747043-03165|0.0||C|FM15-METAR|343|747043-03165|1004.1||4|FM15-METAR|343|747043-03165|||||||250|N-Normal|5|FM15-METAR|343|747043-03165|2.1|N-Normal|5|FM15-METAR|343|747043-03165|||||||||||||28|Derived||FM15-METAR|343|747043-03165|9.9|Derived||FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|747043-03165|1014.9||4|FM15-METAR|343|747043-03165|||||||CLR:00|00-None,SK|5|FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||MET06901/01/20 13:45:02 METAR KEMT 012145Z 25004KT 10SM CLR 19/00 A2997 RMK||F||343|747043-03165
USW00003165|EL MONTE EMSU|2020|01|01|22|45|34.0833|-118.0333|90.2|20.0||C|FM15-METAR|343|747043-03165|1.0||C|FM15-METAR|343|747043-03165|1003.1||4|FM15-METAR|343|747043-03165|||||||190|N-Normal|5|FM15-METAR|343|747043-03165|3.6|N-Normal|5|FM15-METAR|343|747043-03165|||||||||||||28|Derived||FM15-METAR|343|747043-03165|10.8|Derived||FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|747043-03165|1013.9||4|FM15-METAR|343|747043-03165|||||||CLR:00|00-None,SK|5|FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||MET06901/01/20 14:45:02 METAR KEMT 012245Z 19007KT 10SM CLR 20/01 A2994 RMK||F||343|747043-03165
USW00003165|EL MONTE EMSU|2020|01|01|23|45|34.0833|-118.0333|90.2|20.0||C|FM15-METAR|343|747043-03165|2.0||C|FM15-METAR|343|747043-03165|1003.1||4|FM15-METAR|343|747043-03165|||||||190|N-Normal|5|FM15-METAR|343|747043-03165|3.6|N-Normal|5|FM15-METAR|343|747043-03165|||||||||||||30|Derived||FM15-METAR|343|747043-03165|11.2|Derived||FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|747043-03165|1013.9||4|FM15-METAR|343|747043-03165|||||||CLR:00|00-None,SK|5|FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||MET06901/01/20 15:45:02 METAR KEMT 012345Z 19007KT 10SM CLR 20/02 A2994 RMK||F||343|747043-03165
USW00003165|EL MONTE EMSU|2020|01|02|00|45|34.0833|-118.0333|90.2|18.0||C|FM15-METAR|343|747043-03165|7.0||C|FM15-METAR|343|747043-03165|1002.8||4|FM15-METAR|343|747043-03165|||||||210|N-Normal|5|FM15-METAR|343|747043-03165|3.6|N-Normal|5|FM15-METAR|343|747043-03165|||||||||||||49|Derived||FM15-METAR|343|747043-03165|12.2|Derived||FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|747043-03165|1013.5||4|FM15-METAR|343|747043-03165|||||||CLR:00|00-None,SK|5|FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||MET06901/01/20 16:45:01 METAR KEMT 020045Z 21007KT 10SM CLR 18/07 A2993 RMK||F||343|747043-03165
USW00003165|EL MONTE EMSU|2020|01|02|01|45|34.0833|-118.0333|90.2|16.0||C|FM15-METAR|343|747043-03165|9.0||C|FM15-METAR|343|747043-03165|1002.8||4|FM15-METAR|343|747043-03165|||||||240|N-Normal|5|FM15-METAR|343|747043-03165|2.1|N-Normal|5|FM15-METAR|343|747043-03165|||||||||||||63|Derived||FM15-METAR|343|747043-03165|12.3|Derived||FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|747043-03165|1013.5||4|FM15-METAR|343|747043-03165|||||||CLR:00|00-None,SK|5|FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||MET06901/01/20 17:45:01 METAR KEMT 020145Z 24004KT 10SM CLR 16/09 A2993 RMK||F||343|747043-03165
USW00003165|EL MONTE EMSU|2020|01|02|02|53|34.0833|-118.0333|90.2|15.0||C|FM15-METAR|343|747043-03165|9.0||C|FM15-METAR|343|747043-03165|1002.4||4|FM15-METAR|343|747043-03165|||||||230|N-Normal|5|FM15-METAR|343|747043-03165|2.6|N-Normal|5|FM15-METAR|343|747043-03165|||||||||||||68|Derived||FM15-METAR|343|747043-03165|11.8|Derived||FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|747043-03165|1013.2||4|FM15-METAR|343|747043-03165|||||||CLR:00|00-None,SK|5|FM15-METAR|343|747043-03165|||||||||||||||||||||||||||||||MET06901/01/20 18:53:01 METAR KEMT 020253Z 23005KT 10SM CLR 15/09 A2992 RMK||F||343|747043-03165
