Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
USW00023289|PALO ALTO|2016|01|01|19|47|37.4667|-122.1167|2.1|9.0||C|FM15-METAR|343|724937-23289|-4.0||C|FM15-METAR|343|724937-23289|1021.6||4|FM15-METAR|343|724937-23289|||||||060|N-Normal|5|FM15-METAR|343|724937-23289|3.6|N-Normal|5|FM15-METAR|343|724937-23289|||||||||||||40|Derived||FM15-METAR|343|724937-23289|3.8|Derived||FM15-METAR|343|724937-23289|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|724937-23289|1021.7||4|FM15-METAR|343|724937-23289|||||||SCT:04|04-Four-ok|5|FM15-METAR|343|724937-23289|+01067||5|FM15-METAR|343|724937-23289|||||||||||||||||||||||||MET07301/01/16 11:47:02 METAR KPAO 011947Z 06007KT 10SM SCT035 09/M04 A3017 RMK||F||343|724937-23289
USW00023289|PALO ALTO|2016|01|01|20|47|37.4667|-122.1167|2.1|10.0||C|FM15-METAR|343|724937-23289|-3.0||C|FM15-METAR|343|724937-23289|1020.9||4|FM15-METAR|343|724937-23289|||||||080|N-Normal|5|FM15-METAR|343|724937-23289|4.1|N-Normal|5|FM15-METAR|343|724937-23289|||||||||||||40|Derived||FM15-METAR|343|724937-23289|4.7|Derived||FM15-METAR|343|724937-23289|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|724937-23289|1021.0||4|FM15-METAR|343|724937-23289|||||||FEW:02|02-Two-okt|5|FM15-METAR|343|724937-23289|+01067||5|FM15-METAR|343|724937-23289|||||||||||||||||||||||||MET07301/01/16 12:47:02 METAR KPAO 012047Z 08008KT 10SM FEW035 10/M03 A3015 RMK||F||343|724937-23289
USW00023289|PALO ALTO|2016|01|01|21|47|37.4667|-122.1167|2.1|10.0||C|FM15-METAR|343|724937-23289|-3.0||C|FM15-METAR|343|724937-23289|1020.2||4|FM15-METAR|343|724937-23289|||||||020|N-Normal|5|FM15-METAR|343|724937-23289|3.1|N-Normal|5|FM15-METAR|343|724937-23289|||||||||||||40|Derived||FM15-METAR|343|724937-23289|4.7|Derived||FM15-METAR|343|724937-23289|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|724937-23289|1020.3||4|FM15-METAR|343|724937-23289|||||||FEW:02|02-Two-okt|5|FM15-METAR|343|724937-23289|+01067||5|FM15-METAR|343|724937-23289|||||||||||||||||||||||||MET07301/01/16 13:47:02 METAR KPAO 012147Z 02006KT 10SM FEW035 10/M03 A3013 RMK||F||343|724937-23289
USW00023289|PALO ALTO|2016|01|02|00|47|37.4667|-122.1167|2.1|9.0||C|FM15-METAR|343|724937-23289|1.0||C|FM15-METAR|343|724937-23289|1019.9||4|FM15-METAR|343|724937-23289|||||||040|N-Normal|5|FM15-METAR|343|724937-23289|4.1|N-Normal|5|FM15-METAR|343|724937-23289|||||||||||||58|Derived||FM15-METAR|343|724937-23289|5.5|Derived||FM15-METAR|343|724937-23289|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|724937-23289|1020.0||4|FM15-METAR|343|724937-23289|||||||SCT:04|04-Four-ok|5|FM15-METAR|343|724937-23289|+01524||5|FM15-METAR|343|724937-23289|||||||||||||||||||||||||MET07201/01/16 16:47:01 METAR KPAO 020047Z 04008KT 10SM SCT050 09/01 A3012 RMK||F||343|724937-23289
USW00023289|PALO ALTO|2016|01|02|01|47|37.4667|-122.1167|2.1|8.0||C|FM15-METAR|343|724937-23289|1.0||C|FM15-METAR|343|724937-23289|1019.9||4|FM15-METAR|343|724937-23289|||||||060|N-Normal|5|FM15-METAR|343|724937-23289|4.6|N-Normal|5|FM15-METAR|343|724937-23289|||||||||||||62|Derived||FM15-METAR|343|724937-23289|4.9|Derived||FM15-METAR|343|724937-23289|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|724937-23289|1020.0||4|FM15-METAR|343|724937-23289|||||||SCT:04|04-Four-ok|5|FM15-METAR|343|724937-23289|+01219||5|FM15-METAR|343|724937-23289|BKN:07|07-Seven-o|5|FM15-METAR|343|724937-23289|+02134||5|FM15-METAR|343|724937-23289|||||||||||||MET07901/01/16 17:47:01 METAR KPAO 020147Z 06009KT 10SM SCT040 BKN070 08/01 A3012 RMK||F||343|724937-23289
USW00023289|PALO ALTO|2016|01|02|02|47|37.4667|-122.1167|2.1|8.0||C|FM15-METAR|343|724937-23289|1.0||C|FM15-METAR|343|724937-23289|1020.2||4|FM15-METAR|343|724937-23289|||||||060|N-Normal|5|FM15-METAR|343|724937-23289|5.1|N-Normal|5|FM15-METAR|343|724937-23289|||||||||||||62|Derived||FM15-METAR|343|724937-23289|4.9|Derived||FM15-METAR|343|724937-23289|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|724937-23289|1020.3||4|FM15-METAR|343|724937-23289|||||||SCT:04|04-Four-ok|5|FM15-METAR|343|724937-23289|+01219||5|FM15-METAR|343|724937-23289|BKN:07|07-Seven-o|5|FM15-METAR|343|724937-23289|+02134||5|FM15-METAR|343|724937-23289|||||||||||||MET07901/01/16 18:47:01 METAR KPAO 020247Z 06010KT 10SM SCT040 BKN070 08/01 A3013 RMK||F||343|724937-23289
USW00023289|PALO ALTO|2016|01|02|04|47|37.4667|-122.1167|2.1|7.0||C|FM15-METAR|343|724937-23289|1.0||C|FM15-METAR|343|724937-23289|1020.5||4|FM15-METAR|343|724937-23289|||||||999|C-Calm|9|FM15-METAR|343|724937-23289|0.0|C-Calm|5|FM15-METAR|343|724937-23289|||||||||||||66|Derived||FM15-METAR|343|724937-23289|4.6|Derived||FM15-METAR|343|724937-23289|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|724937-23289|1020.7||4|FM15-METAR|343|724937-23289|||||||SCT:04|04-Four-ok|5|FM15-METAR|343|724937-23289|+01219||5|FM15-METAR|343|724937-23289|BKN:07|07-Seven-o|5|FM15-METAR|343|724937-23289|+02134||5|FM15-METAR|343|724937-23289|||||||||||||MET07901/01/16 20:47:02 METAR KPAO 020447Z 00000KT 10SM SCT040 BKN070 07/01 A3014 RMK||F||343|724937-23289
USW00023289|PALO ALTO|2016|01|02|14|47|37.4667|-122.1167|2.1|6.0||C|FM15-METAR|343|724937-23289|3.0||C|FM15-METAR|343|724937-23289|1019.2||4|FM15-METAR|343|724937-23289|||||||999|C-Calm|9|FM15-METAR|343|724937-23289|0.0|C-Calm|5|FM15-METAR|343|724937-23289|||||||||||||81|Derived||FM15-METAR|343|724937-23289|4.7|Derived||FM15-METAR|343|724937-23289|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|724937-23289|1019.3||4|FM15-METAR|343|724937-23289|||||||FEW:02|02-Two-okt|5|FM15-METAR|343|724937-23289|+00914||5|FM15-METAR|343|724937-23289|OVC:08|08-Eight-o|5|FM15-METAR|343|724937-23289|+02743||5|FM15-METAR|343|724937-23289|||||||||||||MET07901/02/16 06:47:02 METAR KPAO 021447Z 00000KT 10SM FEW030 OVC090 06/03 A3010 RMK||F||343|724937-23289
USW00023289|PALO ALTO|2016|01|02|16|47|37.4667|-122.1167|2.1|8.0||C|FM15-METAR|343|724937-23289|1.0||C|FM15-METAR|343|724937-23289|1019.2||4|FM15-METAR|343|724937-23289|||||||999|V-Variable|9|FM15-METAR|343|724937-23289|2.1|V-Variable|5|FM15-METAR|343|724937-23289|||||||||||||62|Derived||FM15-METAR|343|724937-23289|4.9|Derived||FM15-METAR|343|724937-23289|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|724937-23289|1019.3||4|FM15-METAR|343|724937-23289|||||||BKN:07|07-Seven-o|5|FM15-METAR|343|724937-23289|+03048||5|FM15-METAR|343|724937-23289|||||||||||||||||||||||||MET07201/02/16 08:47:02 METAR KPAO 021647Z VRB04KT 10SM BKN100 08/01 A3010 RMK||F||343|724937-23289
USW00023289|PALO ALTO|2016|01|02|17|47|37.4667|-122.1167|2.1|8.0||C|FM15-METAR|343|724937-23289|2.0||C|FM15-METAR|343|724937-23289|1019.5||4|FM15-METAR|343|724937-23289|||||||999|V-Variable|9|FM15-METAR|343|724937-23289|2.6|V-Variable|5|FM15-METAR|343|724937-23289|||||||||||||66|Derived||FM15-METAR|343|724937-23289|5.3|Derived||FM15-METAR|343|724937-23289|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|724937-23289|1019.6||4|FM15-METAR|343|724937-23289|||||||BKN:07|07-Seven-o|5|FM15-METAR|343|724937-23289|+03048||5|FM15-METAR|343|724937-23289|||||||||||||||||||||||||MET07201/02/16 09:47:02 METAR KPAO 021747Z VRB05KT 10SM BKN100 08/02 A3011 RMK||F||343|724937-23289
USW00023289|PALO ALTO|2016|01|02|21|47|37.4667|-122.1167|2.1|11.0||C|FM15-METAR|343|724937-23289|2.0||C|FM15-METAR|343|724937-23289|1015.8||4|FM15-METAR|343|724937-23289|||||||999|C-Calm|9|FM15-METAR|343|724937-23289|0.0|C-Calm|5|FM15-METAR|343|724937-23289|||||||||||||54|Derived||FM15-METAR|343|724937-23289|7.1|Derived||FM15-METAR|343|724937-23289|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||16.093|N-Not-vari|5|FM15-METAR|343|724937-23289|1015.9||4|FM15-METAR|343|724937-23289|||||||||||||||||||||||||||||||||||||||||||MET07101/02/16 13:47:02 METAR KPAO 022147Z 00000KT 10SM BKN12 11/02 A3000 RMK||F||343|724937-23289
