Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
USW00000409|MAURICE BISHOP INTL AP|2023|01|01|00|00|12.0000|-61.7831|7.0|26.0||1|FM15-METAR|223|ICAO-TGPY|22.0||1|FM15-METAR|223|ICAO-TGPY|1012.8||1|FM12-SYNOP|223|ICAO-TGPY|1013.8||1|FM12-SYNOP|223|ICAO-TGPY|030|N-Normal|1|FM15-METAR|223|ICAO-TGPY|5.1|N-Normal|1|FM15-METAR|223|ICAO-TGPY|||||||||||||79|Derived||FM15-METAR|223|ICAO-TGPY|23.5|Derived||FM12-SYNOP|223|ICAO-TGPY|DU:06|DU:06-Wide|1|FM12-SYNOP|223|ICAO-TGPY|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1013.0||1|FM15-METAR|223|ICAO-TGPY|||||||FEW:02|02-Two-okt|1|FM15-METAR|223|ICAO-TGPY|||||||||||||||||||||||||||||||MET057METAR TGPY 010000Z 03010KT 9999 FEW018 26/22 Q1013 NOSIG=||F||223|ICAO-TGPY
USW00000409|MAURICE BISHOP INTL AP|2023|01|01|01|00|12.0000|-61.7831|7.0|26.0||1|FM15-METAR|223|ICAO-TGPY|23.0||1|FM15-METAR|223|ICAO-TGPY|||||||||||||090|N-Normal|1|FM15-METAR|223|ICAO-TGPY|5.1|N-Normal|1|FM15-METAR|223|ICAO-TGPY|||||||||||||84|Derived||FM15-METAR|223|ICAO-TGPY|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1014.0||1|FM15-METAR|223|ICAO-TGPY|||||||FEW:02|02-Two-okt|1|FM15-METAR|223|ICAO-TGPY|||||||||||||||||||||||||||||||MET057METAR TGPY 010100Z 09010KT 9999 FEW018 26/23 Q1014 NOSIG=||F||223|ICAO-TGPY
USW00000409|MAURICE BISHOP INTL AP|2023|01|01|02|00|12.0000|-61.7831|7.0|26.0||1|FM15-METAR|223|ICAO-TGPY|22.0||1|FM15-METAR|223|ICAO-TGPY|||||||||||||090|N-Normal|1|FM15-METAR|223|ICAO-TGPY|4.1|N-Normal|1|FM15-METAR|223|ICAO-TGPY|||||||||||||79|Derived||FM15-METAR|223|ICAO-TGPY|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1014.0||1|FM15-METAR|223|ICAO-TGPY|||||||FEW:02|02-Two-okt|1|FM15-METAR|223|ICAO-TGPY|||||||||||||||||||||||||||||||MET057METAR TGPY 010200Z 09008KT 9999 FEW019 26/22 Q1014 NOSIG=||F||223|ICAO-TGPY
USW00000409|MAURICE BISHOP INTL AP|2023|01|01|03|00|12.0000|-61.7831|7.0|26.0||1|FM15-METAR|223|ICAO-TGPY|22.0||1|FM15-METAR|223|ICAO-TGPY|||||||||||||070|N-Normal|1|FM15-METAR|223|ICAO-TGPY|3.1|N-Normal|1|FM15-METAR|223|ICAO-TGPY|||||||||||||79|Derived||FM15-METAR|223|ICAO-TGPY|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1014.0||1|FM15-METAR|223|ICAO-TGPY|||||||FEW:02|02-Two-okt|1|FM15-METAR|223|ICAO-TGPY|||||||||||||||||||||||||||||||MET051METAR TGPY 010300Z 07006KT 9999 FEW018 26/22 Q1014=||F||223|ICAO-TGPY
USW00000409|MAURICE BISHOP INTL AP|2023|01|01|04|00|12.0000|-61.7831|7.0|25.0||C|FM15-METAR|343|789580-00409|22.0||C|FM15-METAR|343|789580-00409|||||||||||||060|N-Normal|5|FM15-METAR|343|789580-00409|2.6|N-Normal|5|FM15-METAR|343|789580-00409|||||||||||||83|Derived||FM15-METAR|343|789580-00409|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1014.0||1|FM15-METAR|223|ICAO-TGPY|||||||FEW:02|02-Two-okt|5|FM15-METAR|343|789580-00409|+00549||5|FM15-METAR|343|789580-00409|||||||||||||||||||||||||MET06601/01/23 00:00:02 METAR TGPY 010400Z 06005KT 9999 FEW018 25/22 RMK||F||343|789580-00409
USW00000409|MAURICE BISHOP INTL AP|2023|01|01|05|00|12.0000|-61.7831|7.0|25.0||C|FM15-METAR|343|789580-00409|21.0||C|FM15-METAR|343|789580-00409|||||||||||||070|N-Normal|5|FM15-METAR|343|789580-00409|1.5|N-Normal|5|FM15-METAR|343|789580-00409|||||||||||||79|Derived||FM15-METAR|343|789580-00409|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1013.0||1|FM15-METAR|223|ICAO-TGPY|||||||FEW:02|02-Two-okt|5|FM15-METAR|343|789580-00409|+00549||5|FM15-METAR|343|789580-00409|||||||||||||||||||||||||MET06601/01/23 01:00:02 METAR TGPY 010500Z 07003KT 9999 FEW018 25/21 RMK||F||343|789580-00409
USW00000409|MAURICE BISHOP INTL AP|2023|01|01|06|00|12.0000|-61.7831|7.0|25.0||C|FM15-METAR|343|789580-00409|22.0||C|FM15-METAR|343|789580-00409|||||||||||||070|N-Normal|5|FM15-METAR|343|789580-00409|4.1|N-Normal|5|FM15-METAR|343|789580-00409|||||||||||||83|Derived||FM15-METAR|343|789580-00409|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1013.0||1|FM15-METAR|223|ICAO-TGPY|||||||FEW:02|02-Two-okt|5|FM15-METAR|343|789580-00409|+00549||5|FM15-METAR|343|789580-00409|||||||||||||||||||||||||MET06601/01/23 02:00:02 METAR TGPY 010600Z 07008KT 9999 FEW018 25/22 RMK||F||343|789580-00409
USW00000409|MAURICE BISHOP INTL AP|2023|01|01|08|00|12.0000|-61.7831|7.0|25.0||C|FM15-METAR|343|789580-00409|21.0||C|FM15-METAR|343|789580-00409|||||||||||||070|N-Normal|5|FM15-METAR|343|789580-00409|2.6|N-Normal|5|FM15-METAR|343|789580-00409|||||||||||||79|Derived||FM15-METAR|343|789580-00409|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1012.0||1|FM15-METAR|223|ICAO-TGPY|||||||FEW:02|02-Two-okt|5|FM15-METAR|343|789580-00409|+00518||5|FM15-METAR|343|789580-00409|||||||||||||||||||||||||MET06601/01/23 04:00:02 METAR TGPY 010800Z 07005KT 9999 FEW017 25/21 RMK||F||343|789580-00409
USW00000409|MAURICE BISHOP INTL AP|2023|01|01|09|00|12.0000|-61.7831|7.0|25.0||C|FM15-METAR|343|789580-00409|22.0||C|FM15-METAR|343|789580-00409|1011.7||1|FM12-SYNOP|223|ICAO-TGPY|1012.7||1|FM12-SYNOP|223|ICAO-TGPY|060|N-Normal|5|FM15-METAR|343|789580-00409|3.6|N-Normal|5|FM15-METAR|343|789580-00409|||||||||||||83|Derived||FM15-METAR|343|789580-00409|22.9|Derived||FM12-SYNOP|223|ICAO-TGPY|25|25-Shower(|1|FM12-SYNOP|223|ICAO-TGPY|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1012.0||1|FM15-METAR|223|ICAO-TGPY|||||||FEW:02|02-Two-okt|5|FM15-METAR|343|789580-00409|+00518||5|FM15-METAR|343|789580-00409|||||||||||||||||||||||||MET06601/01/23 05:00:02 METAR TGPY 010900Z 06007KT 9999 FEW017 25/22 RMK||F||343|789580-00409
USW00000409|MAURICE BISHOP INTL AP|2023|01|01|10|00|12.0000|-61.7831|7.0|25.0||C|FM15-METAR|343|789580-00409|22.0||C|FM15-METAR|343|789580-00409|||||||||||||060|N-Normal|5|FM15-METAR|343|789580-00409|3.6|N-Normal|5|FM15-METAR|343|789580-00409|||||||||||||83|Derived||FM15-METAR|343|789580-00409|||||||SHRA:80|SHRA:80-Ra|1|FM15-METAR|223|ICAO-TGPY|||||||||||||-SHRA:02|-=-light_S|5|FM15-METAR|343|789580-00409|||||||||||||||||||||||||||||||||||||||||||1013.0||1|FM15-METAR|223|ICAO-TGPY|||||||FEW:02|02-Two-okt|5|FM15-METAR|343|789580-00409|+00488||5|FM15-METAR|343|789580-00409|||||||||||||||||||||||||MET08301/01/23 06:00:02 METAR TGPY 011000Z 06007KT 9999 -SHRA FEW016TCU 25/22 RMK TCU-ENE||F||343|789580-00409
