Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
USW00000399|PRINCESS JULIANA INTL AP|2023|01|01|04|00|18.0458|-63.1147|4.3|26.0||C|FM15-METAR|343|788660-00399|21.0||C|FM15-METAR|343|788660-00399|||||||||||||070|V-Variable|5|FM15-METAR|343|788660-00399|4.1|V-Variable|5|FM15-METAR|343|788660-00399|||||||||||||74|Derived||FM15-METAR|343|788660-00399|||||||||||||||||||||||||-SHRA:02|-=-light_S|5|FM15-METAR|343|788660-00399|||||||||||||||||||||||||||||||||||||||||||||||||||||||SCT:04|04-Four-ok|5|FM15-METAR|343|788660-00399|+00488||5|FM15-METAR|343|788660-00399|||||||||||||||||||||||||MET07201/01/23 00:00:02 METAR TNCM 010400Z 07008KT 9999 -SHRA SCT016 26/21 RMK||F||343|788660-00399
USW00000399|PRINCESS JULIANA INTL AP|2023|01|01|05|00|18.0458|-63.1147|4.3|26.0||C|FM15-METAR|343|788660-00399|20.0||C|FM15-METAR|343|788660-00399|||||||||||||060|V-Variable|5|FM15-METAR|343|788660-00399|4.6|V-Variable|5|FM15-METAR|343|788660-00399|||||||||||||70|Derived||FM15-METAR|343|788660-00399|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SCT:04|04-Four-ok|5|FM15-METAR|343|788660-00399|+00488||5|FM15-METAR|343|788660-00399|||||||||||||||||||||||||MET06601/01/23 01:00:02 METAR TNCM 010500Z 06009KT 9999 SCT016 26/20 RMK||F||343|788660-00399
USW00000399|PRINCESS JULIANA INTL AP|2023|01|01|06|00|18.0458|-63.1147|4.3|25.0||C|FM15-METAR|343|788660-00399|21.0||C|FM15-METAR|343|788660-00399|||||||||||||060|V-Variable|5|FM15-METAR|343|788660-00399|4.6|V-Variable|5|FM15-METAR|343|788660-00399|||||||||||||79|Derived||FM15-METAR|343|788660-00399|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||FEW:02|02-Two-okt|5|FM15-METAR|343|788660-00399|+00549||5|FM15-METAR|343|788660-00399|||||||||||||||||||||||||MET06601/01/23 02:00:02 METAR TNCM 010600Z 06009KT 9999 FEW018 25/21 RMK||F||343|788660-00399
USW00000399|PRINCESS JULIANA INTL AP|2023|01|01|07|00|18.0458|-63.1147|4.3|25.0||C|FM15-METAR|343|788660-00399|21.0||C|FM15-METAR|343|788660-00399|||||||||||||070|N-Normal|5|FM15-METAR|343|788660-00399|3.6|N-Normal|5|FM15-METAR|343|788660-00399|||||||||||||79|Derived||FM15-METAR|343|788660-00399|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SCT:04|04-Four-ok|5|FM15-METAR|343|788660-00399|+00488||5|FM15-METAR|343|788660-00399|||||||||||||||||||||||||MET06601/01/23 03:00:02 METAR TNCM 010700Z 07007KT 9999 SCT016 25/21 RMK||F||343|788660-00399
USW00000399|PRINCESS JULIANA INTL AP|2023|01|01|08|00|18.0458|-63.1147|4.3|25.0||C|FM15-METAR|343|788660-00399|21.0||C|FM15-METAR|343|788660-00399|||||||||||||070|N-Normal|5|FM15-METAR|343|788660-00399|4.1|N-Normal|5|FM15-METAR|343|788660-00399|||||||||||||79|Derived||FM15-METAR|343|788660-00399|||||||||||||||||||||||||-SHRA:02|-=-light_S|5|FM15-METAR|343|788660-00399|||||||||||||||||||||||||||||||||||||||||||||||||||||||SCT:04|04-Four-ok|5|FM15-METAR|343|788660-00399|+00488||5|FM15-METAR|343|788660-00399|||||||||||||||||||||||||MET07201/01/23 04:00:02 METAR TNCM 010800Z 07008KT 9999 -SHRA SCT016 25/21 RMK||F||343|788660-00399
USW00000399|PRINCESS JULIANA INTL AP|2023|01|01|09|00|18.0458|-63.1147|4.3|25.0||C|FM15-METAR|343|788660-00399|21.0||C|FM15-METAR|343|788660-00399|||||||||||||060|V-Variable|5|FM15-METAR|343|788660-00399|4.6|V-Variable|5|FM15-METAR|343|788660-00399|||||||||||||79|Derived||FM15-METAR|343|788660-00399|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||FEW:02|02-Two-okt|5|FM15-METAR|343|788660-00399|+00610||5|FM15-METAR|343|788660-00399|||||||||||||||||||||||||MET06601/01/23 05:00:02 METAR TNCM 010900Z 06009KT 9999 FEW020 25/21 RMK||F||343|788660-00399
USW00000399|PRINCESS JULIANA INTL AP|2023|01|01|10|00|18.0458|-63.1147|4.3|25.0||C|FM15-METAR|343|788660-00399|21.0||C|FM15-METAR|343|788660-00399|||||||||||||070|N-Normal|5|FM15-METAR|343|788660-00399|4.1|N-Normal|5|FM15-METAR|343|788660-00399|||||||||||||79|Derived||FM15-METAR|343|788660-00399|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||FEW:02|02-Two-okt|5|FM15-METAR|343|788660-00399|+00549||5|FM15-METAR|343|788660-00399|||||||||||||||||||||||||MET06601/01/23 06:00:02 METAR TNCM 011000Z 07008KT 9999 FEW018 25/21 RMK||F||343|788660-00399
USW00000399|PRINCESS JULIANA INTL AP|2023|01|01|11|00|18.0458|-63.1147|4.3|26.0||C|FM15-METAR|343|788660-00399|21.0||C|FM15-METAR|343|788660-00399|||||||||||||070|N-Normal|5|FM15-METAR|343|788660-00399|5.1|N-Normal|5|FM15-METAR|343|788660-00399|||||||||||||74|Derived||FM15-METAR|343|788660-00399|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SCT:04|04-Four-ok|5|FM15-METAR|343|788660-00399|+00488||5|FM15-METAR|343|788660-00399|||||||||||||||||||||||||MET08601/01/23 07:00:02 METAR TNCM 011100Z 07010KT 9999 VCSH SCT016 26/21 RMK VCSH SE/ S/ SW||F||343|788660-00399
USW00000399|PRINCESS JULIANA INTL AP|2023|01|01|12|00|18.0458|-63.1147|4.3|26.0||C|FM15-METAR|343|788660-00399|21.0||C|FM15-METAR|343|788660-00399|||||||||||||070|V-Variable|5|FM15-METAR|343|788660-00399|5.7|V-Variable|5|FM15-METAR|343|788660-00399|||||||||||||74|Derived||FM15-METAR|343|788660-00399|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||FEW:02|02-Two-okt|5|FM15-METAR|343|788660-00399|+00488||5|FM15-METAR|343|788660-00399|||||||||||||||||||||||||MET06601/01/23 08:00:02 METAR TNCM 011200Z 07011KT 9999 FEW016 26/21 RMK||F||343|788660-00399
USW00000399|PRINCESS JULIANA INTL AP|2023|01|01|13|00|18.0458|-63.1147|4.3|27.0||C|FM15-METAR|343|788660-00399|21.0||C|FM15-METAR|343|788660-00399|||||||||||||070|N-Normal|5|FM15-METAR|343|788660-00399|5.1|N-Normal|5|FM15-METAR|343|788660-00399|||||||||||||70|Derived||FM15-METAR|343|788660-00399|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||FEW:02|02-Two-okt|5|FM15-METAR|343|788660-00399|+00549||5|FM15-METAR|343|788660-00399|||||||||||||||||||||||||MET06601/01/23 09:00:02 METAR TNCM 011300Z 07010KT 9999 FEW018 27/21 RMK||F||343|788660-00399
