Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
USL000ELXC1|ELKHORN SLOUGH RESERVE|2023|01|01|10|00|36.8167|-121.7333|3.0|10.0||1|FM13-SHIP-|222|CMANS-ELXC1|9.2||1|FM13-SHIP-|222|CMANS-ELXC1|||||||1007.0||1|FM13-SHIP-|222|CMANS-ELXC1|999|C-Calm|9|FM13-SHIP-|222|CMANS-ELXC1|0.0|C-Calm|1|FM13-SHIP-|222|CMANS-ELXC1|||||||0.0|0-None|1|SHEF-Std-H|222|CMANS-ELXC1|95|Derived||FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.0|4-Steady;-|1|FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||SYN048ELXC1 46/// /0000 10100 20092 40070 54000 91000=||F||222|CMANS-ELXC1
USL000ELXC1|ELKHORN SLOUGH RESERVE|2023|01|01|11|00|36.8167|-121.7333|3.0|9.9||1|FM13-SHIP-|222|CMANS-ELXC1|9.3||1|FM13-SHIP-|222|CMANS-ELXC1|||||||1008.0||1|FM13-SHIP-|222|CMANS-ELXC1|290|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|1.5|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|||||||0.0|0-None|1|SHEF-Std-H|222|CMANS-ELXC1|96|Derived||FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|3-Decr-or-|1|FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||SYN048ELXC1 46/// /2903 10099 20093 40080 53010 91100=||F||222|CMANS-ELXC1
USL000ELXC1|ELKHORN SLOUGH RESERVE|2023|01|01|12|00|36.8167|-121.7333|3.0|10.7||1|FM13-SHIP-|222|CMANS-ELXC1|9.3||1|FM13-SHIP-|222|CMANS-ELXC1|||||||1008.0||1|FM13-SHIP-|222|CMANS-ELXC1|320|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|6.7|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|||||||0.0|0-None|1|SHEF-Std-H|222|CMANS-ELXC1|91|Derived||FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|2-Incr-(st|1|FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||SYN048ELXC1 46/// /3213 10107 20093 40080 52010 91200=||F||222|CMANS-ELXC1
USL000ELXC1|ELKHORN SLOUGH RESERVE|2023|01|01|13|00|36.8167|-121.7333|3.0|10.5||1|FM13-SHIP-|222|CMANS-ELXC1|8.9||1|FM13-SHIP-|222|CMANS-ELXC1|||||||1009.0||1|FM13-SHIP-|222|CMANS-ELXC1|330|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|5.1|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|||||||0.0|0-None|1|SHEF-Std-H|222|CMANS-ELXC1|90|Derived||FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2.0|2-Incr-(st|1|FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||SYN048ELXC1 46/// /3310 10105 20089 40090 52020 91300=||F||222|CMANS-ELXC1
USL000ELXC1|ELKHORN SLOUGH RESERVE|2023|01|01|14|00|36.8167|-121.7333|3.0|9.2||1|FM13-SHIP-|222|CMANS-ELXC1|8.0||1|FM13-SHIP-|222|CMANS-ELXC1|||||||1009.0||1|FM13-SHIP-|222|CMANS-ELXC1|050|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|0.5|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|||||||0.0|0-None|1|SHEF-Std-H|222|CMANS-ELXC1|92|Derived||FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|2-Incr-(st|1|FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||SYN048ELXC1 46/// /0501 10092 20080 40090 52010 91400=||F||222|CMANS-ELXC1
USL000ELXC1|ELKHORN SLOUGH RESERVE|2023|01|01|15|00|36.8167|-121.7333|3.0|8.3||1|FM13-SHIP-|222|CMANS-ELXC1|6.9||1|FM13-SHIP-|222|CMANS-ELXC1|||||||1010.0||1|FM13-SHIP-|222|CMANS-ELXC1|120|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|0.5|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|||||||0.0|0-None|1|SHEF-Std-H|222|CMANS-ELXC1|91|Derived||FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2.0|2-Incr-(st|1|FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||SYN048ELXC1 46/// /1201 10083 20069 40100 52020 91500=||F||222|CMANS-ELXC1
USL000ELXC1|ELKHORN SLOUGH RESERVE|2023|01|01|16|00|36.8167|-121.7333|3.0|7.2||1|FM13-SHIP-|222|CMANS-ELXC1|6.8||1|FM13-SHIP-|222|CMANS-ELXC1|||||||1010.0||1|FM13-SHIP-|222|CMANS-ELXC1|140|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|1.0|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|||||||0.0|0-None|1|SHEF-Std-H|222|CMANS-ELXC1|97|Derived||FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|2-Incr-(st|1|FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||SYN048ELXC1 46/// /1402 10072 20068 40100 52010 91600=||F||222|CMANS-ELXC1
USL000ELXC1|ELKHORN SLOUGH RESERVE|2023|01|01|17|00|36.8167|-121.7333|3.0|9.8||1|FM13-SHIP-|222|CMANS-ELXC1|8.7||1|FM13-SHIP-|222|CMANS-ELXC1|||||||1011.0||1|FM13-SHIP-|222|CMANS-ELXC1|150|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|1.0|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|||||||0.0|0-None|1|SHEF-Std-H|222|CMANS-ELXC1|93|Derived||FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||2.0|2-Incr-(st|1|FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||SYN048ELXC1 46/// /1502 10098 20087 40110 52020 91700=||F||222|CMANS-ELXC1
USL000ELXC1|ELKHORN SLOUGH RESERVE|2023|01|01|18|00|36.8167|-121.7333|3.0|12.9||1|FM13-SHIP-|222|CMANS-ELXC1|9.4||1|FM13-SHIP-|222|CMANS-ELXC1|||||||1011.0||1|FM13-SHIP-|222|CMANS-ELXC1|160|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|2.1|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|||||||0.0|0-None|1|SHEF-Std-H|222|CMANS-ELXC1|79|Derived||FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|2-Incr-(st|1|FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||SYN048ELXC1 46/// /1604 10129 20094 40110 52010 91800=||F||222|CMANS-ELXC1
USL000ELXC1|ELKHORN SLOUGH RESERVE|2023|01|01|19|00|36.8167|-121.7333|3.0|13.8||1|FM13-SHIP-|222|CMANS-ELXC1|8.7||1|FM13-SHIP-|222|CMANS-ELXC1|||||||1011.0||1|FM13-SHIP-|222|CMANS-ELXC1|280|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|1.5|N-Normal|1|FM13-SHIP-|222|CMANS-ELXC1|||||||0.0|0-None|1|SHEF-Std-H|222|CMANS-ELXC1|72|Derived||FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.0|1-Incr-the|1|FM13-SHIP-|222|CMANS-ELXC1|||||||||||||||||||||||||||||||||||||SYN048ELXC1 46/// /2803 10138 20087 40110 51010 91900=||F||222|CMANS-ELXC1
