Station_ID|Station_name|Year|Month|Day|Hour|Minute|Latitude|Longitude|Elevation|temperature|temperature_Measurement_Code|temperature_Quality_Code|temperature_Report_Type|temperature_Source_Code|temperature_Source_Station_ID|dew_point_temperature|dew_point_temperature_Measurement_Code|dew_point_temperature_Quality_Code|dew_point_temperature_Report_Type|dew_point_temperature_Source_Code|dew_point_temperature_Source_Station_ID|station_level_pressure|station_level_pressure_Measurement_Code|station_level_pressure_Quality_Code|station_level_pressure_Report_Type|station_level_pressure_Source_Code|station_level_pressure_Source_Station_ID|sea_level_pressure|sea_level_pressure_Measurement_Code|sea_level_pressure_Quality_Code|sea_level_pressure_Report_Type|sea_level_pressure_Source_Code|sea_level_pressure_Source_Station_ID|wind_direction|wind_direction_Measurement_Code|wind_direction_Quality_Code|wind_direction_Report_Type|wind_direction_Source_Code|wind_direction_Source_Station_ID|wind_speed|wind_speed_Measurement_Code|wind_speed_Quality_Code|wind_speed_Report_Type|wind_speed_Source_Code|wind_speed_Source_Station_ID|wind_gust|wind_gust_Measurement_Code|wind_gust_Quality_Code|wind_gust_Report_Type|wind_gust_Source_Code|wind_gust_Source_Station_ID|precipitation|precipitation_Measurement_Code|precipitation_Quality_Code|precipitation_Report_Type|precipitation_Source_Code|precipitation_Source_Station_ID|relative_humidity|relative_humidity_Measurement_Code|relative_humidity_Quality_Code|relative_humidity_Report_Type|relative_humidity_Source_Code|relative_humidity_Source_Station_ID|wet_bulb_temperature|wet_bulb_temperature_Measurement_Code|wet_bulb_temperature_Quality_Code|wet_bulb_temperature_Report_Type|wet_bulb_temperature_Source_Code|wet_bulb_temperature_Source_Station_ID|pres_wx_MW1|pres_wx_MW1_Measurement_Code|pres_wx_MW1_Quality_Code|pres_wx_MW1_Report_Type|pres_wx_MW1_Source_Code|pres_wx_MW1_Source_Station_ID|pres_wx_MW2|pres_wx_MW2_Measurement_Code|pres_wx_MW2_Quality_Code|pres_wx_MW2_Report_Type|pres_wx_MW2_Source_Code|pres_wx_MW2_Source_Station_ID|pres_wx_MW3|pres_wx_MW3_Measurement_Code|pres_wx_MW3_Quality_Code|pres_wx_MW3_Report_Type|pres_wx_MW3_Source_Code|pres_wx_MW3_Source_Station_ID|pres_wx_AU1|pres_wx_AU1_Measurement_Code|pres_wx_AU1_Quality_Code|pres_wx_AU1_Report_Type|pres_wx_AU1_Source_Code|pres_wx_AU1_Source_Station_ID|pres_wx_AU2|pres_wx_AU2_Measurement_Code|pres_wx_AU2_Quality_Code|pres_wx_AU2_Report_Type|pres_wx_AU2_Source_Code|pres_wx_AU2_Source_Station_ID|pres_wx_AU3|pres_wx_AU3_Measurement_Code|pres_wx_AU3_Quality_Code|pres_wx_AU3_Report_Type|pres_wx_AU3_Source_Code|pres_wx_AU3_Source_Station_ID|pres_wx_AW1|pres_wx_AW1_Measurement_Code|pres_wx_AW1_Quality_Code|pres_wx_AW1_Report_Type|pres_wx_AW1_Source_Code|pres_wx_AW1_Source_Station_ID|pres_wx_AW2|pres_wx_AW2_Measurement_Code|pres_wx_AW2_Quality_Code|pres_wx_AW2_Report_Type|pres_wx_AW2_Source_Code|pres_wx_AW2_Source_Station_ID|pres_wx_AW3|pres_wx_AW3_Measurement_Code|pres_wx_AW3_Quality_Code|pres_wx_AW3_Report_Type|pres_wx_AW3_Source_Code|pres_wx_AW3_Source_Station_ID|snow_depth|snow_depth_Measurement_Code|snow_depth_Quality_Code|snow_depth_Report_Type|snow_depth_Source_Code|snow_depth_Source_Station_ID|visibility|visibility_Measurement_Code|visibility_Quality_Code|visibility_Report_Type|visibility_Source_Code|visibility_Source_Station_ID|altimeter|altimeter_Measurement_Code|altimeter_Quality_Code|altimeter_Report_Type|altimeter_Source_Code|altimeter_Source_Station_ID|pressure_3hr_change|pressure_3hr_change_Measurement_Code|pressure_3hr_change_Quality_Code|pressure_3hr_change_Report_Type|pressure_3hr_change_Source_Code|pressure_3hr_change_Source_Station_ID|sky_cover_1|sky_cover_1_Measurement_Code|sky_cover_1_Quality_Code|sky_cover_1_Report_Type|sky_cover_1_Source_Code|sky_cover_1_Source_Station_ID|sky_cover_baseht_1|sky_cover_baseht_1_Measurement_Code|sky_cover_baseht_1_Quality_Code|sky_cover_baseht_1_Report_Type|sky_cover_baseht_1_Source_Code|sky_cover_baseht_1_Source_Station_ID|sky_cover_2|sky_cover_2_Measurement_Code|sky_cover_2_Quality_Code|sky_cover_2_Report_Type|sky_cover_2_Source_Code|sky_cover_2_Source_Station_ID|sky_cover_baseht_2|sky_cover_baseht_2_Measurement_Code|sky_cover_baseht_2_Quality_Code|sky_cover_baseht_2_Report_Type|sky_cover_baseht_2_Source_Code|sky_cover_baseht_2_Source_Station_ID|sky_cover_3|sky_cover_3_Measurement_Code|sky_cover_3_Quality_Code|sky_cover_3_Report_Type|sky_cover_3_Source_Code|sky_cover_3_Source_Station_ID|sky_cover_baseht_3|sky_cover_baseht_3_Measurement_Code|sky_cover_baseht_3_Quality_Code|sky_cover_baseht_3_Report_Type|sky_cover_baseht_3_Source_Code|sky_cover_baseht_3_Source_Station_ID|remarks|remarks_Measurement_Code|remarks_Quality_Code|remarks_Report_Type|remarks_Source_Code|remarks_Source_Station_ID
USW00024213|EUREKA WFO WOODLEY IS|2019|01|01|00|00|40.8097|-124.1603|6.1|11.1||1|FM12-SYNOP|223|ICAO-KEKA|1.7||1|FM12-SYNOP|223|ICAO-KEKA|1020.1||1|FM12-SYNOP|223|ICAO-KEKA|1022.8||1|FM12-SYNOP|223|ICAO-KEKA|360|N-Normal|1|FM12-SYNOP|223|ICAO-KEKA|4.6|N-Normal|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||53|Derived||FM12-SYNOP|223|ICAO-KEKA|6.8|Derived||FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SYN08072594 35966 03609 10111 20017 30201 40228 53000 92353 333 10117 21005 555 90100=||F||223|ICAO-KEKA
USW00024213|EUREKA WFO WOODLEY IS|2019|01|01|06|00|40.8097|-124.1603|6.1|2.2||1|FM12-SYNOP|223|ICAO-KEKA|0.0||1|FM12-SYNOP|223|ICAO-KEKA|1021.1||1|FM12-SYNOP|223|ICAO-KEKA|1024.1||1|FM12-SYNOP|223|ICAO-KEKA|160|N-Normal|1|FM12-SYNOP|223|ICAO-KEKA|2.1|N-Normal|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||86|Derived||FM12-SYNOP|223|ICAO-KEKA|1.3|Derived||FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.2|8-Steady-o|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||SYN08072594 35966 01604 10022 20000 30211 40241 58002 90553 333 10111 21005 555 90106=||F||223|ICAO-KEKA
USW00024213|EUREKA WFO WOODLEY IS|2019|01|01|12|00|40.8097|-124.1603|6.1|3.3||1|FM12-SYNOP|223|ICAO-KEKA|-3.9||1|FM12-SYNOP|223|ICAO-KEKA|1022.2||1|FM12-SYNOP|223|ICAO-KEKA|1025.3||1|FM12-SYNOP|223|ICAO-KEKA|090|N-Normal|1|FM12-SYNOP|223|ICAO-KEKA|2.6|N-Normal|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||60|Derived||FM12-SYNOP|223|ICAO-KEKA|0.6|Derived||FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.3|8-Steady-o|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||SYN08072594 35966 00905 10033 21039 30222 40253 58003 91153 333 10117 20000 555 90112=||F||223|ICAO-KEKA
USW00024213|EUREKA WFO WOODLEY IS|2019|01|01|18|00|40.8097|-124.1603|6.1|7.8||1|FM12-SYNOP|223|ICAO-KEKA|-3.3||1|FM12-SYNOP|223|ICAO-KEKA|1024.5||1|FM12-SYNOP|223|ICAO-KEKA|1027.6||1|FM12-SYNOP|223|ICAO-KEKA|999|C-Calm|9|FM12-SYNOP|223|ICAO-KEKA|0.0|C-Calm|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||46|Derived||FM12-SYNOP|223|ICAO-KEKA|3.4|Derived||FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1.1|1-Incr-the|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||SYN08072594 35966 00000 10078 21033 30245 40276 51011 91753 333 10078 21006 555 90118=||F||223|ICAO-KEKA
USW00024213|EUREKA WFO WOODLEY IS|2019|01|02|00|00|40.8097|-124.1603|6.1|11.7||1|FM12-SYNOP|223|ICAO-KEKA|5.0||1|FM12-SYNOP|223|ICAO-KEKA|1021.8||1|FM12-SYNOP|223|ICAO-KEKA|1024.6||1|FM12-SYNOP|223|ICAO-KEKA|330|N-Normal|1|FM12-SYNOP|223|ICAO-KEKA|4.1|N-Normal|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||64|Derived||FM12-SYNOP|223|ICAO-KEKA|8.5|Derived||FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-0.3|5-Decr,-th|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||SYN08072594 35966 03308 10117 20050 30218 40246 55003 92353 333 10133 20000 555 90200=||F||223|ICAO-KEKA
USW00024213|EUREKA WFO WOODLEY IS|2019|01|02|06|00|40.8097|-124.1603|6.1|2.2||1|FM12-SYNOP|223|ICAO-KEKA|1.7||1|FM12-SYNOP|223|ICAO-KEKA|1022.5||1|FM12-SYNOP|223|ICAO-KEKA|1025.3||1|FM12-SYNOP|223|ICAO-KEKA|999|C-Calm|9|FM12-SYNOP|223|ICAO-KEKA|0.0|C-Calm|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||97|Derived||FM12-SYNOP|223|ICAO-KEKA|2.0|Derived||FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||SYN08072594 35964 00000 10022 20017 30225 40253 52000 90553 333 10122 20000 555 90206=||F||223|ICAO-KEKA
USW00024213|EUREKA WFO WOODLEY IS|2019|01|02|12|00|40.8097|-124.1603|6.1|0.0||1|FM12-SYNOP|223|ICAO-KEKA|-1.1||1|FM12-SYNOP|223|ICAO-KEKA|1022.2||1|FM12-SYNOP|223|ICAO-KEKA|1025.0||1|FM12-SYNOP|223|ICAO-KEKA|090|N-Normal|1|FM12-SYNOP|223|ICAO-KEKA|2.6|N-Normal|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||92|Derived||FM12-SYNOP|223|ICAO-KEKA|-0.4|Derived||FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.1|None|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||SYN08072594 35966 00905 10000 21011 30222 40250 50001 91153 333 10133 20000 555 90212=||F||223|ICAO-KEKA
USW00024213|EUREKA WFO WOODLEY IS|2019|01|02|18|00|40.8097|-124.1603|6.1|7.8||1|FM12-SYNOP|223|ICAO-KEKA|3.9||1|FM12-SYNOP|223|ICAO-KEKA|1022.2||1|FM12-SYNOP|223|ICAO-KEKA|1025.2||1|FM12-SYNOP|223|ICAO-KEKA|999|C-Calm|9|FM12-SYNOP|223|ICAO-KEKA|0.0|C-Calm|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||77|Derived||FM12-SYNOP|223|ICAO-KEKA|6.0|Derived||FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.7|None|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||SYN08072594 35966 00000 10078 20039 30222 40252 50007 91753 333 10078 21006 555 90218=||F||223|ICAO-KEKA
USW00024213|EUREKA WFO WOODLEY IS|2019|01|03|00|00|40.8097|-124.1603|6.1|10.0||1|FM12-SYNOP|223|ICAO-KEKA|6.1||1|FM12-SYNOP|223|ICAO-KEKA|1020.5||1|FM12-SYNOP|223|ICAO-KEKA|1023.5||1|FM12-SYNOP|223|ICAO-KEKA|310|N-Normal|1|FM12-SYNOP|223|ICAO-KEKA|1.5|N-Normal|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||77|Derived||FM12-SYNOP|223|ICAO-KEKA|8.1|Derived||FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-1.1|5-Decr,-th|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||SYN08072594 35966 03103 10100 20061 30205 40235 55011 92353 333 10122 20000 555 90300=||F||223|ICAO-KEKA
USW00024213|EUREKA WFO WOODLEY IS|2019|01|03|06|00|40.8097|-124.1603|6.1|3.3||1|FM12-SYNOP|223|ICAO-KEKA|3.3||1|FM12-SYNOP|223|ICAO-KEKA|1021.8||1|FM12-SYNOP|223|ICAO-KEKA|1024.9||1|FM12-SYNOP|223|ICAO-KEKA|999|C-Calm|9|FM12-SYNOP|223|ICAO-KEKA|0.0|C-Calm|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||100|Derived||FM12-SYNOP|223|ICAO-KEKA|3.3|Derived||FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0.2|None|1|FM12-SYNOP|223|ICAO-KEKA|||||||||||||||||||||||||||||||||||||SYN08072594 35962 00000 10033 20033 30218 40249 50002 90553 333 10100 20000 555 90306=||F||223|ICAO-KEKA
